"Type","loss","target","Number of trades","Number of winners","Percent of winners","Total winning","Total loss","Average profit","Number of long trades","Number of long winner","Percent of long winners","Long winning","Long loss","Average profit of long","Number of short trades","Number of short winners","Percent of short winners","Short winning","Short loss","Average profit of short","Average holding period","Daily Average Profit"
"Total","0.1","0.01","1339","1222","91.2621359223301","1612.307490660318","-1152.3888422662535","0.3434791996968369","615","578","93.98373983739837","826.500066900605","-377.96019143891954","0.7293331308320089","724","644","88.95027624309392","785.8074237597124","-774.4286508273339","0.015716537199417853","13.933532486930545","0.02465126485469607"
"Total","0.1","0.02","1339","1120","83.64451082897685","2509.2375070037083","-2217.5930470062794","0.21780766243273253","615","542","88.13008130081302","1254.164226674294","-787.8432248198202","0.7582455314706892","724","578","79.8342541436464","1255.0732803294165","-1429.7498221864591","-0.2412659417914953","24.73711725168036","0.008804892672687524"
"Total","0.1","0.05","1339","900","67.21433905899926","4653.982088069562","-4395.9387067972","0.19271350356412414","615","451","73.33333333333333","2320.2795006555225","-1681.8887287128605","1.0380337755165236","724","449","62.01657458563537","2333.7025874140422","-2714.0499780843393","-0.5253416998208523","49.20238984316654","0.003916750876906625"
"Total","0.1","0.1","1339","682","50.933532486930545","6864.053956787798","-6612.444313047818","0.1879086211650337","615","351","57.073170731707314","3524.7958886853175","-2717.5321675839","1.3126239367502726","724","331","45.7182320441989","3339.25806810248","-3894.912145463919","-0.7674780074053023","92.15533980582525","0.0020390421386429066"
"Total","0.2","0.01","1339","1271","94.92158327109783","1680.7622683202458","-1258.0420999435644","0.31569840804830573","615","596","96.91056910569105","860.2620226915027","-365.44663612264833","0.8045778643396005","724","675","93.23204419889503","820.5002456287424","-892.5954638209157","-0.09957903065217309","21.566840926064227","0.014638138665305124"
"Total","0.2","0.02","1339","1211","90.44062733383122","2725.9940751415306","-2452.90253012153","0.20395186334578078","615","580","94.3089430894309","1351.427299893529","-717.5407770600467","1.0307097932251743","724","631","87.15469613259668","1374.5667752480033","-1735.3617530614836","-0.49833560471475175","38.660941000746824","0.005275398323642484"
"Total","0.2","0.05","1339","1045","78.04331590739358","5433.631083687577","-5666.47854845802","-0.17389653829009893","615","509","82.76422764227642","2622.1727806516387","-2073.335890328869","0.892417707841902","724","536","74.03314917127072","2811.4583030359404","-3593.142658129148","-1.0796745236094027","79.01568334578043","-0.0022007850964106774"
"Total","0.2","0.1","1339","854","63.77893950709485","8663.270654531863","-9393.471650696261","-0.5453330815268096","615","437","71.0569105691057","4403.724227107371","-3527.875059618929","1.4241449877860848","724","417","57.59668508287292","4259.5464274244905","-5865.596591077333","-2.2183013310122135","154.18969380134428","-0.0035367673939959224"
"Total","0.5","0.01","1339","1292","96.48991784914115","1713.1377149914124","-1861.0656489351168","-0.110476425648771","615","601","97.72357723577237","865.2620226915027","-632.9878699826726","0.377681549120049","724","691","95.44198895027624","847.8756922999089","-1228.077778952444","-0.5251410036637226","36.24047796863331","-0.003048426285778848"
"Total","0.5","0.02","1339","1255","93.72666168782673","2823.522281130364","-3315.4908437547915","-0.36741490860674214","615","592","96.26016260162602","1376.2095475204678","-1007.9117435065494","0.5988582179088103","724","663","91.57458563535911","1447.3127336098974","-2307.5791002482424","-1.1882132135888743","66.21433905899926","-0.005548872250757691"
"Total","0.5","0.05","1339","1146","85.58625840179238","5979.818833495543","-8089.724845737987","-1.5757326454387188","615","558","90.73170731707317","2880.766240992701","-2446.6344375444114","0.7059053714606337","724","588","81.21546961325967","3099.0525925028455","-5643.090408193578","-3.513864386313166","155.58252427184465","-0.010127953976922812"
"Total","0.5","0.1","1339","1011","75.50410754294249","10252.772524936407","-13619.211563430566","-2.5141441661644213","615","517","84.0650406504065","5203.865647315022","-4283.441084382491","1.4966253055813519","724","494","68.23204419889503","5048.906877621382","-9335.770479048075","-5.92108232241256","294.10978342046303","-0.008548318715974739"
"Total","1.0","0.01","1339","1301","97.16206123973114","1724.819940333567","-2052.202620973441","-0.24449789442858386","615","604","98.21138211382113","869.4539931575847","-518.966891014328","0.5698977270622061","724","697","96.27071823204419","855.3659471759812","-1533.2357299591126","-0.9362842303634412","59.9596713965646","-0.0040777057100848686"
"Total","1.0","0.02","1339","1269","94.77221807318895","2878.4643842330884","-3867.019661149751","-0.7382787729026605","615","598","97.23577235772358","1388.4015179865496","-758.5578972256877","1.0241359687168485","724","671","92.67955801104972","1490.0628662465394","-3108.4617639240623","-2.2353575934772416","102.67139656460044","-0.007190695730316071"
"Total","1.0","0.05","1339","1182","88.27483196415236","6189.557838823482","-9202.256796568468","-2.2499618803173913","615","576","93.65853658536587","2972.1531437777753","-1644.5847806075021","2.1586477449923143","724","606","83.70165745856355","3217.4046950457096","-7557.672015960971","-5.994844365905058","255.41448842419717","-0.008809061279956102"
"Total","1.0","0.1","1339","1066","79.6116504854369","10821.344253953202","-15830.076886471115","-3.740651704643699","615","545","88.6178861788618","5489.062158437735","-3118.0792346194726","3.8552567866963616","724","521","71.96132596685084","5332.282095515464","-12711.997651851647","-10.19297728775716","477.0560119492158","-0.007841116369877976"
"Total","0.0","0.0","1339","711","53.09932785660941","1201.383695553791","-880.8236610769111","0.23940256495659445","615","363","59.02439024390244","711.8916089696363","-402.1576612893648","0.503632435252474","724","348","48.06629834254144","489.49208658415455","-478.6659997875466","0.014953158558850783","1.4353995519044063","0.16678461731367325"
